abbreviation,full_string
Carson,Ben  Carson
Carter,Willie Felix Carter
Castle,Darrell L. Castle
Chaffee,Lincoln Chaffee
Chrisley,Todd Chrisley
Christie,Chris Christie
Clark,Santa Roy A. Clark
Clinton,Hillary Clinton
CohenA,Ariel Cohen
CohenT,Ted Cohen
Collins,Loren Collins
Connolly,William J. Connolly
CooperJ,Jeffrey A. Cooper
CooperA,Alice Cooper
Copeland,Scott Copeland
Corsetti,Michael Corsetti
Cruz,Ted  Cruz
Cubbler,Scott Cubbler
Cummings,Darryl Cummings
DeLaFuente,Roque De La Fuente
Deame,Kevin Deame
Douglas,Jim Douglas
Duck,Donald Duck
Duncan,Richard Duncan
Edgell,Richard Baxter Edgell
Elliott,Claire Elisabeth Elliott
Ellis,Craig Ellis
Epstein,Theo Epstein
Evans,Ronald Evans
Fecteau,Matt Fecteau
Feegbeh,William Feegbeh
Fiorina,Carly Fiorina
Flippin,Ameer Flippin
Fox,Cherunda Fox
Fried,Jason Fried
Gabard,Tulsi Gabard
Gates,Jacqueline Gates
Gerhard,Eric Gerhard
Giordani,Rocky Giordani
GodAlmighty,God (Almighty)
GodHelpUs,God Help Us
Gowdy,Trey Gowdy
Gyurko,Zoltan Istvan Gyurko
Harambe,Harambe
Harper,Mark J. Harper
Hartnell,Benjamin Hartnell
Healey,Robert (Bob) Healey
Hedges,James A. Hedges
Hoefling,Thomas Hoefling
Huckabee,Mike Huckabee
In-Albon,Mitchell In-Albon
Ingbar,Michael Frederick Ingbar
Jackson,Denny Carroll Jackson
Jacob,Princess Jacob
Jaynes,Bruce E.  Jaynes
Jennings,Gerald Jennings
Johnson,Gary Johnson
JohnsonN,Nathan Johnson
Kahn,Lynn S. Kahn
Kaine,Tim Kaine
Kasich,John Kasich
Keita,Mohammed Keita
Kelly,Melissa L. Kelly
Keniston,Chris Keniston
Kennedy,Alyson Kennedy
Kenniston,Chris Kenniston
Kirschner,Barry  Kirschner
Klojzy,Jeffrey John Jr. Klojzy
Kopitke,Kyle Kenley Kopitke
Koplitz,Roger Koplitz
Kotlikoff,Laurence Kotlikoff
LaRiva,Gloria Estela La Riva
Leahy,Patrick Leahy
Lee,Jonathan  Lee
Limbaugh,David Limbaugh
Lincoln,Abe (Abraham) Lincoln
Ling,William Martin Ling
Locke,Star Locke
Lohmiller,Bruce Lohmiller
Luesing,Richard Turner Jr. Luesing
Lynch,Darin Lynch
Lyttle,Bradford Lyttle
Mackler,Jeffrey Mackler
Maldonado,Joseph Allen Maldonado
Mallapadi,Srinivasa K. Mallapadi
Maturen,Michael Maturen
McCain,John McCain
McCarthy,Stephen McCarthy
McKee,Kevin McKee
McMullin,Evan McMullin
me,me
Meluch,Timothy B. Meluch
Miscellaneous,Miscellaneous
Moorehead,Monica  Moorehead
Moreau,Kevin Moreau
Morris,Laio Morris
Morrow,Robert Morrow
Mouse,Mickey Mouse
Muffoletto,Daniel Muffoletto
Muhammad,Ricky Muhammad
Mullis,Richard G. Mullis
Murray,Bill Murray
Mutford,Jason Mutford
NA,N/A
Nader,Ralph Nader
Neuman,Alfred E. Neuman
Nieman,Thomas J. Nieman
NoConfidence,No Confidence
NoName,No Name
NoOne,No one
None,None
NoneOfTheAbove,None of the above
NoneofTheseCandidates,None of These Candidates
Norton,David Norton
Nutz,Deez Nutz
ObamaM,Michelle Obama
ObamaB,Barack Obama
Ortiz,David  Ortiz
Osborne,Alyson Kennedy Osborne
Other,Other
Paul,Ron or Rand Paul
RandPaul,Rand Paul
RonPaul,Ron Paul
Payeur,Micah Payeur
Pence,Mike Pence
Pendleton,Cathy Johnson Pendleton
PerryDavid,David Perry
PerryBrian,Brian Anthony Perry
PerryDarryl,Darryl W. Perry
Pope Francis,Pope Francis
Powell,Colin Powell
Puskar,Michael B. Puskar
Reagan,Ronald Reagan
Reed,Jack Reed
Reid,Janet L. Reid
Rice,Condoleeza Rice
Roberts,Matthew  Roberts
RobertsC,Clifton Roberts
Robertson,Platt Robertson
Romney,Mitt Romney
Roosevelt,Theodore Roosevelt
Rubio,Marco Rubio
Ryan,Paul Ryan
Sanders,Bernie Sanders
Scattered,Scattered
Schoenke,Marshall Schoenke
Schriner,Joe   Schriner
Schumacher,Derrick Schumacher
Scott,Ryan Alan Scott
Seeberg,Phillip Seeberg
Sidner,Arthur E. Sidner
Silva,Rod Silva
Skewes,Peter Skewes
Smith,Mike Smith
SmithD,Duff Cooper Smith
SmithW,William Roger Smith
SmithC,Coop Smith
Snell,Keith Richard Snell
Soldjah,Sistah Soldjah
Soltysik,Emilio Soltysik
Sood,Ajay Sood
Stack,David G. Stack
Steffes,Dale Steffes
Stein,Jill Stein
Steinacker,Delano Steinacker
Sterling,Shawna Sterling
Sterner,Corey Sterner
Stevens,Timothy Allen Stevens
Stout,Matthew Water Stout
Stroh,Josiah R. Stroh
Struck,James T. Struck
Supreme,Vermin Supreme
Symonette,Maurice Symonette
Terry,Doug Terry
Thomas,Mary E. Thomas
Thomson,Douglas W. Thomson
Tittle,Sheila "Samm" Tittle
Trump,Donald Trump
Tuttle,Fred Tuttle
Tyree,Roy Wayne Tyree
UnityLoveHarmony,Unity Love Harmony
Urbach,Marc Urbach
Vacek,Dan R.  Vacek
Vakil,Kora Roberta Katz Vakil
Valdivia,Tony Valdivia
Ventura,Jesse Ventura
Vogel-Walcutt,J. J. Vogel-Walcutt
Warren,Elizabeth Warren
Washington,George Washington
Webb,James (Jim) Webb
Weld,William Weld
Welsh,Esther Welsh
Wettschreck,Kirk Wettschreck
Wharton,Jeffrey Ryan Sr. Wharton
Whitaker,Barbara Whitaker
White,Jerry White
Williams,Mitchell Williams
WilliamsR,Roger Williams
Wilson,Sandra Wilson
Wolff,Robert M. Wolff
Wu,Jeffrey Anthony Wu
Wysinger,Demetra Jefferson Wysinger
